date,total_spillover
2009-08-19,59.54549289469276
2009-09-17,59.673007102050754
2009-10-16,60.582046692213
2009-11-16,60.80951151472181
2009-12-15,60.93826376388745
2010-01-14,61.60979070669607
2010-02-12,61.69942601809254
2010-03-15,61.78769112327043
2010-04-13,62.12612209272008
2010-05-12,62.307665498660604
2010-06-10,62.744494578534706
2010-07-09,63.258647334450444
2010-08-09,67.8105804174783
2010-09-07,65.8423033854894
2010-10-06,60.648929457465215
2010-11-04,55.93937852194133
2010-12-03,56.79851230139876
2011-01-03,56.463864550180475
2011-02-01,56.345916874393865
2011-03-02,55.4337916425648
2011-03-31,54.38347987850022
2011-04-29,54.869130877142744
2011-05-30,54.69531682870653
2011-06-28,54.46493705891936
2011-07-27,54.424374162591306
2011-08-25,56.585713464062856
2011-09-23,56.59876311121138
2011-10-24,56.17495762719079
2011-11-22,56.73121276260452
2011-12-21,57.22201781206272
2012-01-19,56.7893623317611
2012-02-17,56.84615040951439
2012-03-19,56.788723147129126
2012-04-17,56.264620206454495
2012-05-16,55.485322705252024
2012-06-14,55.067678481775154
2012-07-13,55.005142660308415
2012-08-13,55.02936819158671
2012-09-11,55.269949596398504
2012-10-10,55.292534946654534
2012-11-08,55.18340862115368
2012-12-07,55.32768057883969
2013-01-08,55.23698536525629
2013-02-06,55.208347782151925
2013-03-07,55.724614880856926
2013-04-05,55.387409296431656
2013-05-06,55.251890102436576
2013-06-04,54.66712945170858
2013-07-03,54.36878539699309
2013-08-01,52.616837504227334
2013-08-30,51.16016998453041
2013-09-30,49.76409706418571
2013-10-29,48.195573941180456
2013-11-27,47.02630188698198
2013-12-26,46.890098254324705
2014-01-27,47.011588080998266
2014-02-25,46.7845646197755
2014-03-26,46.31239081826741
2014-04-24,45.759016754997155
2014-05-23,45.096657780105005
2014-06-23,44.13867954327241
2014-07-22,43.081225835289224
2014-08-20,42.82902466763635
2014-09-18,42.3953682779685
2014-10-17,42.21222275640017
2014-11-17,42.20111286493384
2014-12-16,42.42890253718317
2015-01-15,42.92829544911816
2015-02-13,42.48896541969141
2015-03-16,42.361756285321675
2015-04-14,41.74569509803601
2015-05-13,41.36391040253879
2015-06-11,40.27940183497806
2015-07-10,40.45989639908056
2015-08-10,40.898106604573705
2015-09-08,43.983879669688946
2015-10-07,45.09923818619342
2015-11-05,45.22309425620416
2015-12-04,45.22660781606104
2016-01-05,45.483574432081014
2016-02-03,47.07381693726961
2016-03-03,47.66509033167143
2016-04-01,47.86435061754638
2016-05-02,48.1238060056619
2016-05-31,48.27989596884355
2016-06-29,48.611983538455476
2016-07-28,48.72482690660199
2016-08-26,48.836151283006096
2016-09-26,49.386911421678306
2016-10-25,49.64847857122903
2016-11-23,49.3651043847474
2016-12-22,49.250566548485956
2017-01-20,49.17778040851661
2017-02-20,49.32197806955618
2017-03-21,49.595924471236856
2017-04-19,50.03412672227155
2017-05-18,50.40576033285613
2017-06-16,50.44053169110103
2017-07-17,50.48010419693636
2017-08-15,48.26534975551027
2017-09-13,47.898142538375325
2017-10-12,47.863397110445746
2017-11-10,47.86075618947701
2017-12-11,46.5822575356348
2018-01-10,44.27630944268724
2018-02-08,43.680762416756444
2018-03-09,43.434649688347406
2018-04-09,44.10438852046941
2018-05-08,44.025608497659526
2018-06-06,41.56840555983834
2018-07-05,41.22047074493493
2018-08-03,41.42695891398956
2018-09-03,40.56963822758482
2018-10-02,40.63651471608002
2018-10-31,41.75725765852722
2018-11-29,41.88134024577475
2018-12-28,42.46386908843844
2019-01-29,43.13321989359478
2019-02-27,42.558689195081456
2019-03-28,42.969633345520066
2019-04-26,43.07650607959574
2019-05-27,43.192623815214276
2019-06-25,43.378955442187355
2019-07-24,43.23886605687476
