Date,S&P500 (US),Nasdaq (US),FTSE100 (UK),DAX (Germany),CAC40 (France),Nikkei225 (Japan),HangSeng (HK),Shanghai (China),Nifty50 (India),Bovespa (Brazil),TSX (Canada),ASX200 (Australia)
2005-01-04,-0.011740004384716105,-0.020794031322599518,,-0.00023998638713032435,0.0019743851343503077,,-0.01354313824873499,,,-0.03456939043756383,,
2005-01-05,-0.0036344391932794083,-0.007916078965282082,-0.008494819548961738,-0.007547291851454172,-0.008824037703613223,-0.006990185441320032,-0.020247897735329888,0.00734594496385722,,-0.006297961874681799,-0.013422324624951812,-0.00474196870607069
2005-01-06,0.003499726889387917,-0.0005931208319172,0.0038004687465254317,0.009977605423104578,0.007057129810428193,0.004774606650887551,-0.003808386469343701,-0.010040321434787019,,-0.013249546647034302,0.0047773650431883,-0.0023546043942025687
2005-01-07,-0.0014321956835941646,-0.0006652415964409111,0.006158122715418412,0.0035881090462850035,0.005554386834746633,-0.005148822196745446,-0.01005470326343232,0.004279830437695944,,0.015474511662089125,-0.006430348864000706,0.008229290965719489
2005-01-10,0.0034169283837069677,0.0040280208538876336,-0.0027643500581563903,-0.0020941626309194466,-3.60744058267967e-05,0.0,-0.0032074330010623646,0.0061310394300658705,,-0.018557191511375387,0.002284657942133638,0.0028753540613673315
2005-01-11,-0.0061182454723810965,-0.008341604168467055,-0.004555156045087711,-0.011525676306412488,-0.007462384009714803,0.009293492133663865,-0.001637509590935498,0.0040329228655149475,,0.0032057896017858713,-0.0006759506421662572,-0.0005400243666579737
2005-01-12,0.003973499066449697,0.00618863313127951,-0.007310801145659188,-0.011619578339146461,-0.008571361288881278,-0.007532689484112355,0.004141131107269482,-0.00042878278876574543,,0.005728329902906422,0.00022168770463344548,-0.0005649074506431195
2005-01-13,-0.008667580994090578,-0.010554743807252418,0.003484953745921728,0.0007885829376856952,0.004697950497059421,-0.008344038553145895,0.0005874073339905398,-0.00048464097567488544,,0.012004361853116593,-0.0015085114812661972,-0.00022110894684519957
2005-01-14,0.005986604031937076,0.008344393158383284,0.0042614736061182155,0.004788860253271408,0.005329902726005198,0.007033524245605067,-0.005800210173281523,-0.008548614809856877,,0.004745635288837827,0.005324908820704514,-0.0019431330901237033
2005-01-17,0.0,0.0,0.005358252411384693,0.00310217388683753,0.006938938088922599,0.004249421566395646,0.00935750316973259,-0.023530588409865043,,-0.016546019578778978,0.0007283935397372732,0.0037598630488154404
2005-01-18,0.009628270925436201,0.008645901883472645,-0.004715392009882557,0.001224119933151726,-0.0016553745841157489,-0.00557302554153715,-0.0012804488061545,0.007208565249121242,,-0.01752987033843714,0.007802837773850728,-0.0036614085854579817
2005-01-19,-0.009535422983762518,-0.015527978412527637,-0.001161581061598813,-0.0012146890577307183,-0.0015521662363156368,-0.0015699539930015486,0.005454733784484837,-0.00601250908322426,,0.007526917256362853,-0.001577568790786919,-0.0023167886119169413
2005-01-20,-0.007813441684863667,-0.013453429849395154,-0.00363859820941944,-0.005934269318131842,-0.0068910966607853355,-0.01062766559172306,-0.009921391284627972,-0.011322290207695589,,-0.02761187092370076,-0.003448814466732369,-0.004104572054913443
2005-01-21,-0.006435479320456572,-0.0056909753889699734,0.000520611021990165,-0.0015958923092254014,0.0030532867780423308,-0.004120160903441814,-0.004630625622598613,0.024669978226161866,,0.008771246248382478,-0.00024210162379528804,0.0019554462200064623
2005-01-24,-0.0035340230516199287,-0.012649319430645609,0.0019135585820708287,-0.002806711325225928,-0.001422835935225864,0.00453839859919128,-0.006999378188386685,0.017107936843540762,,0.01582838777348202,-0.0009468329223734405,0.000222568890804317
2005-01-25,0.003996329851615026,0.0055850121085368005,0.0063589999985735135,0.007600953001995374,0.008622781654798765,-0.0011149389544116738,0.014613657570824135,-0.0012294519448407817,,0.0,0.0051528589144009184,0.0027404694728476254
2005-01-26,0.004832419632938723,0.012857903668313447,0.0008049085036372919,-0.004694590317396112,-0.000572020297437411,0.008798718531535382,0.00291241729549553,-0.00983586187605793,,0.013626873151111805,0.004079380229983466,0.0
2005-01-27,0.00040883799571498974,0.0005179557611957289,0.001298862032507474,0.0005432728534383569,0.002980186534048621,-0.0031042307367140417,0.00038385113812753143,-0.013021253427503715,,-0.02059380852202043,0.0013088435497802659,0.012203712614429534
2005-01-28,-0.002719682678708843,-0.0055450173248757645,-0.004253500720169536,-0.0034686933633148714,-0.0054239974990533645,-0.0018294589101567605,0.0015506024246573005,-0.010016642244282352,,-0.002583442413568585,-0.003559758030131242,-0.001657678484025522
2005-01-31,0.008424693022826934,0.012971582732258086,0.004026809663539499,0.01254413292989802,0.011135680543482455,0.005901837123877486,0.005233938122106525,-0.018167211087282857,,0.01585330911233943,0.006791713260646674,0.0020472095677284193
2005-02-01,0.006867267158630261,0.00304520776810477,0.011046972131180818,0.005886518709084976,0.006491914464206686,-0.000280120719623416,-0.010507856811163757,-0.002429456517947217,,-0.008329945073390847,0.007145130352784991,0.004954567664102201
2005-02-02,0.0031729290996995304,0.0030697301008207004,0.002036162863918818,0.0038104779694439245,0.003178357291124624,0.001995412799534319,-0.0016554814445523885,0.052086944449050425,,0.018706702944184,0.0036395842104053953,0.0042547167714019575
2005-02-03,-0.002769465505019701,-0.008430454374126031,-0.0016083042043782776,-0.003420382688858896,-0.005781265274489507,-0.0015607703864126607,-0.0029898830884126245,-0.008171413542835829,,0.010873406913607643,-2.1517584879644548e-05,0.001446375944000386
2005-02-04,0.01098252050319909,0.014005016640100156,0.006741318951389311,0.013372240519301883,0.007371721688032469,-0.0025450156046190903,0.0051541483263638,0.02126222269845476,,0.03391227231720471,0.005851437698287033,0.0025261349140688343
2005-02-07,-0.0010895591835757032,-0.002221266048201348,0.007720761532476121,0.006219055970318245,0.006017691620051841,0.012201233627581003,0.015327456818003963,0.0,,0.0,0.001452262996236686,0.006657661225619625
2005-02-08,0.00048259010452929307,0.0022308600577954627,0.0031478168243585687,0.0011536254194498448,-0.000283794966052665,-0.0008204041423947799,0.0036634432465304464,0.0,,0.0,0.0022169204306841015,-0.002509351575438291
2005-02-09,-0.008612258457473676,-0.016491307067294597,-0.0010214598883567954,-0.004181369073696568,-0.002804871072231701,-0.0014875670989373752,0.0,0.0,,0.02236576339489259,0.001053392612064326,-0.0016764061393936102
2005-02-10,0.004202617764653276,0.0002679472491766006,0.0019218651315208877,-0.002562377975667372,0.00018891710949044477,0.006966656681759181,0.0,0.0,,0.0038687702341256304,0.00992661532265637,0.000670852951360367
2005-02-11,0.006901750205170698,0.011409897908308122,0.008801194673281382,0.010490597449071512,0.011613799077010668,0.0,0.0,0.0,,0.009606945626304932,0.006517990433552387,-0.00014374974329053582
2005-02-14,0.0006966508245472663,0.003005120706052336,-0.0004759846659368787,-0.00031909516591155704,-0.0011558036963092437,0.0067835539882464685,0.012317669718149814,0.0,,-0.00522528114076749,0.0027894516058058327,-0.005790059872143857
2005-02-15,0.003294334262127831,0.003020073156240581,0.0033859266168159144,0.0035569265152060156,0.004560705896007156,0.0012277358041813975,-0.0015278869477576952,0.0,,0.002935533326288192,-0.0015870571278788336,-0.0013020835172983022
2005-02-16,0.00018175942364727842,-0.000852373894053047,-0.0011273044332655439,-0.007584239930808152,-0.005331192845997015,-0.0038549789096677693,0.0014037295821088082,0.007752335581108166,,-0.008529319172354765,0.0072463679978193,0.0016634465656955688
2005-02-17,-0.007954922070865405,-0.012577312096346483,0.0008307533147828341,0.0002083106804863709,-0.0008784106219737651,-0.0016355795831123827,-0.003407028479151518,-0.002149477612265266,,0.02644380358885835,-0.00210809680957086,0.0036543946741783013
