Date,S&P500 (US),Nasdaq (US),FTSE100 (UK),DAX (Germany),CAC40 (France),Nikkei225 (Japan),HangSeng (HK),Shanghai (China),Nifty50 (India),Bovespa (Brazil),TSX (Canada),ASX200 (Australia),US Dollar (DXY),EUR/USD,GBP/USD,USD/JPY,WTI Crude,Brent Crude,Gold,Silver,Copper,VIX Fear,Bitcoin
2005-01-04,-0.0117400043847161,-0.0207940313225995,,-0.0002399863871303,0.0019743851343503,,-0.0135431382487349,,,-0.0345693904375638,,,0.015500360642612022,-0.014057773546132503,-0.011099303393519123,0.015453258249865143,0.04161941919169824,,-0.00046666404062708247,-0.007749603204672919,-0.08811589530791446,-0.00712764124981114,
2005-01-05,-0.0036344391932794,-0.007916078965282,-0.0084948195489617,-0.0075472918514541,-0.0088240377036132,-0.00699018544132,-0.0202478977353298,0.0073459449638572,,-0.0062979618746817,-0.0134223246249518,-0.0047419687060706,-0.0003633793170138947,-0.00014603826794047447,0.0010176627466989276,-0.003937163959709624,-0.011913095354993455,,-0.004443917693234117,0.013138768076071446,0.019169965325292943,0.007837632678624373,
2005-01-06,0.0034997268893879,-0.0005931208319172,0.0038004687465254,0.0099776054231045,0.0070571298104281,0.0047746066508875,-0.0038083864693437,-0.010040321434787,,-0.0132495466470343,0.0047773650431883,-0.0023546043942025,0.007363188573496518,-0.007330234671186995,-0.0047965178669356935,0.009194577617855132,0.04880118297783481,,-0.013213986662218931,-0.012205635520123069,-0.0014075255347762836,-0.03686722022766629,
2005-01-07,-0.0014321956835941,-0.0006652415964409,0.0061581227154184,0.003588109046285,0.0055543868347466,-0.0051488221967454,-0.0100547032634323,0.0042798304376959,,0.0154745116620891,-0.0064303488640007,0.0082292909657194,0.005516913472093971,-0.009303419465094824,-0.0027733374858969033,0.0,-0.0028574822326462063,,-0.005000620299732837,-0.0006220163353598683,-0.003527337254886139,-0.006649463259552846,
2005-01-10,0.0034169283837069,0.0040280208538876,-0.0027643500581563,-0.0020941626309194,-3.60744058267967e-05,0.0,-0.0032074330010623,0.0061310394300658,,-0.0185571915113753,0.0022846579421336,0.0028753540613673,-0.003834632522656235,0.003742508666709583,0.002998518254759217,-0.006888013735749648,-0.0022035811421670776,,0.00047735611176443274,0.00031109360404767817,-0.001060640393892003,-0.019461709726451316,
2005-01-11,-0.006118245472381,-0.008341604168467,-0.0045551560450877,-0.0115256763064124,-0.0074623840097148,0.0092934921336638,-0.0016375095909354,0.0040329228655149,,0.0032057896017858,-0.0006759506421662,-0.0005400243666579,-0.0032470027496408435,0.0005376181953160435,0.0009012951116001749,-0.007225813155754204,0.007691466681846009,,0.006658735169144461,0.02941837805368265,0.018574289582020877,-0.003028008610457132,
2005-01-12,0.0039734990664496,0.0061886331312795,-0.0073108011456591,-0.0116195783391464,-0.0085713612888812,-0.0075326894841123,0.0041411311072694,-0.0004287827887657,,0.0057283299029064,0.0002216877046334,-0.0005649074506431,-0.01065640109186505,0.010535824658863052,0.006426591970383929,-0.009521064099168055,0.014992103340265678,,0.009905770166447572,0.015729485661166033,0.0027738911089317925,-0.048941740466952925,
2005-01-13,-0.0086675809940905,-0.0105547438072524,0.0034849537459217,0.0007885829376856,0.0046979504970594,-0.0083440385531458,0.0005874073339905,-0.0004846409756748,,0.0120043618531165,-0.0015085114812661,-0.0002211089468451,0.0044944229090287825,-0.003387785693861592,-0.005148257326982016,0.00019518441172252515,0.035381340900636424,,-0.0037620690786031963,0.00029719943959195664,-0.022764091937367132,0.022048115696582174,
2005-01-14,0.005986604031937,0.0083443931583832,0.0042614736061182,0.0047888602532714,0.0053299027260051,0.007033524245605,-0.0058002101732815,-0.0085486148098568,,0.0047456352888378,0.0053249088207045,-0.0019431330901237,0.006643684802506246,-0.008524387633613358,-0.005552416799393559,-0.0046957210310178445,0.007052510990112879,,-0.00424926929994691,-0.02254041274833422,0.015814800322243083,-0.032452380071436485,
2005-01-17,0.0,0.0,0.0053582524113846,0.0031021738868375,0.0069389380889225,0.0042494215663956,0.0093575031697325,-0.023530588409865,,-0.0165460195787789,0.0007283935397372,0.0037598630488154,0.0,-0.0036609785605764404,-0.007138814632922002,0.002741861997462186,,,,,,,
