date,strategy,benchmark
2009-08-31,-0.012687058463544365,0.013601134280303791
2009-09-30,0.05973189624806139,0.052692024412765104
2009-10-31,-0.02601382426110601,0.006699154357676297
2009-11-30,0.08599562787065625,0.04699249279146783
2009-12-31,0.034676488855287034,0.029178916107831052
2010-01-31,-0.07670049053224612,-0.047664272228250745
2010-02-28,0.0340351625734895,0.012414814447355389
2010-03-31,0.08438263427650569,0.053457315333876
2010-04-30,-0.009064962851309888,0.003812304032154633
2010-05-31,-0.0696393976782966,-0.04467211419617227
2010-06-30,-0.044089580432205865,-0.014422359598869958
2010-07-31,-0.005568406147525939,0.02551717574887893
2010-08-31,0.015544164542270523,-0.012895002711731229
2010-09-30,0.10501045210419266,0.07557641139252037
2010-10-31,0.040728684518993495,0.03330576084389962
2010-11-30,0.02141497410175639,0.0204664292091819
2010-12-31,0.06248695986777022,0.03455936867735166
2011-01-31,-0.030892022126912787,-2.4928122986170665e-05
2011-02-28,0.029354591007738007,0.01455401258300214
2011-03-31,0.00527151066291569,0.015993577281744893
2011-04-30,0.06746971752188712,0.01801993816749845
2011-05-31,-0.02835485172044565,-0.016738636933342866
2011-06-30,-0.03058776865215681,-0.015968142522482066
2011-07-31,0.03294623229794086,0.017615917625623256
2011-08-31,-0.017122112264600288,-0.03194235165745799
2011-09-30,-0.06621919869628512,-0.050679201545744866
2011-10-31,0.03174391410471662,0.06819140403886757
2011-11-30,-0.0176848583038992,-0.028534208653708034
2011-12-31,-0.068779785085416,-0.027779082731209978
2012-01-31,0.0003269906907285458,0.06583096881132704
2012-02-29,0.047012575814739464,0.04306538700938993
2012-03-31,0.027663992842463236,0.007894873511073527
2012-04-30,0.017235853666860302,-0.003749674159596754
2012-05-31,0.016813521741040127,-0.054076204834823845
2012-06-30,-0.009952512013019976,0.022634583308180013
2012-07-31,0.009705215128000844,-0.001548120989886792
2012-08-31,0.020761706162334637,0.022151015164251657
2012-09-30,0.01373078322400384,0.03330179063975276
2012-10-31,-0.016000331979490114,-0.014620366957457073
2012-11-30,0.028635521738342894,0.02608754506901677
2012-12-31,-0.0010075437413887833,0.01175319727726824
2013-01-31,0.015523702342460399,0.028015993487925737
2013-02-28,-0.00362400060940572,-0.013067012000312999
2013-03-31,0.027753138872452166,0.001892968512589685
2013-04-30,0.017267823287201424,0.02667980842044715
2013-05-31,0.1008004286142901,0.03544432034680247
2013-06-30,-0.010404488370642395,-0.02385090793700705
2013-07-31,0.05975710294677415,0.04070570453713429
2013-08-31,0.007433888767704478,0.021067740669189962
2013-09-30,0.048189164168586686,0.02185332042885801
2013-10-31,0.015652669472686398,0.03591252556210568
2013-11-30,-0.003263007066045509,-0.00012442261243724996
2013-12-31,0.05990064930736405,0.02189663997441641
2014-01-31,0.017802510239951098,-0.011367244882455763
2014-02-28,0.0498961579698712,0.03257417815268955
2014-03-31,-0.04832202477655255,0.00552697033193531
2014-04-30,-0.02047722549158092,-0.0030950944325594254
2014-05-31,0.046544427245027074,0.022067828451226467
2014-06-30,0.04951924288683,0.0327914807414151
2014-07-31,0.013545253459496387,0.014749200008061899
2014-08-31,0.05351390065838324,0.01635394261489859
2014-09-30,0.01167826499968384,-0.004473504513483578
2014-10-31,0.022279158663004728,-0.005174807391434859
2014-11-30,0.03837765537988232,0.016734854567700966
2014-12-31,-0.03118352982149224,-0.01506963838519568
2015-01-31,0.05269100727677424,0.00037504742168786447
2015-02-28,0.030205483977589653,0.0304031314338038
2015-03-31,-0.0051315642309761374,-0.01145770022272428
2015-04-30,-0.0033487119926000953,0.03262328683817774
2015-05-31,0.02153162472218071,0.010158979842567938
2015-06-30,-0.0010426223559821147,-0.0005918094153299886
2015-07-31,0.014319166236407655,-8.487558465864721e-05
2015-08-31,-0.05992721769908167,-0.009233521072962492
2015-09-30,-0.0021099140101938697,-0.016786806075839482
2015-10-31,0.028860398667665633,0.04989856152356427
2015-11-30,0.035710647044568576,0.0021760240839015957
2015-12-31,0.020542786692823667,-7.690422901140428e-05
2016-01-31,-0.048132195327650375,-0.04582379852922161
2016-02-29,-0.02927780041968514,-0.013892002426017715
2016-03-31,0.014327294749589548,0.05798231412705421
2016-04-30,-0.00032956949921366665,0.02496357032461504
2016-05-31,0.07165794849437251,0.021398961888728037
2016-06-30,0.018828773429966705,0.005495196864716391
2016-07-31,0.07090435370257069,0.036940217076819715
2016-08-31,-0.011236634957972346,0.009049203699313025
2016-09-30,0.03310546161887127,0.011843745762174201
2016-10-31,0.013584388520059543,0.009948620695912852
2016-11-30,-0.013689309163059238,-0.001648298501576055
2016-12-31,0.04700231861692219,0.02985240491931045
2017-01-31,0.036820377874683716,0.028234806285939718
2017-02-28,0.028576328662814333,0.0350595696348136
2017-03-31,-0.003563456762636652,0.007437133403370009
2017-04-30,0.037175508975934135,0.016961430263694555
2017-05-31,0.13868539131872532,0.04301909329941903
2017-06-30,0.0038356844964603674,-0.0011850465210199656
2017-07-31,0.06290711526796776,0.034518588051612724
2017-08-31,0.09129446818296114,0.028916521620976916
2017-09-30,-0.009377653858544454,0.001186278667215218
2017-10-31,0.11179826220339688,0.05506643517489987
2017-11-30,0.05949099614611018,0.021443768945078618
2017-12-31,0.04872857508797024,0.04066487514825379
2018-01-31,0.06223900486151035,0.05950808945351324
